@classification: Hokan,Northern,Karok-Shasta
@ids-name: Karok_Phonemic
@iso: kyh
@language: Karok
@size: 830
@source: ids
@variety: std
1.1	world	ʔiθíβθānēn
1.21	earth, land	ʔiθíβθānēn
1.212	earth=ground, soil	ʔiθíβθānēn
1.213	dust	ʔámtāp
1.214	mud	ʔaratβáraf
1.214	mud	ʔáβax
1.215	sand	yú̄x
1.22	mountain, hill	tú̄yšip
1.222	cliff, precipice	ʔápak
1.23	plain, field	tišrām
1.24	valley	tišrām
1.25	island	čī́nkir
1.27	shore	ʔastīp
1.28	cave	ʔá̄siβ
1.31	water	ʔá̄s
1.31	water	ʔíšaha
1.32	sea	yúras
1.324	foam	čánčāf
1.329	ocean	yúras
1.33	lake	ʔúkrām
1.36	river, stream, brook	ʔiškê̄š
1.36	river, stream, brook	sāmβárō
1.37	spring, well	ʔišrām
1.41	woods, forest	ʔipahárīk
1.42	tree (cf 08.600)	ʔípaha
1.43	wood	ʔáhup
1.44	stone, rock	ʔas
1.45	earthquake	ʔiθíβθānēntōké̄n
1.51	sky	páynanuʔáβahkam
1.52	sun	kú̄sra
1.53	moon	ʔikxarámkú̄sra
1.54	star	ʔatáyrām
1.55	lightning	ʔimaxáynūmβa
1.56	thunder	ʔišnur
1.59	rainbow	ʔé̄xrih
1.61	light (noun)	ʔimkatáxrah
1.63	shade, shadow	pikšip
1.72	wind	ʔikré̄myah
1.73	cloud	pikxárampa
1.74	fog	pú̄k
1.75	rain (noun)	paθrih
1.76	snow (noun)	tá̄h
1.76	snow (noun)	ikyútunih
1.77	ice	ʔikákrih
1.81	fire	ʔá̄h
1.83	smoke (noun)	ʔámkūf
1.84	ashes	ʔámtāp
1.841	embers	ʔimnak
1.851	burn (vb trans)	ʔá̄hka
1.852	burn (vb intrans)	ʔī́nka
1.86	light, kindle, ignite	ʔá̄hka
1.861	extinguish	ʔíšip
1.87	match (noun)	θimyúriš
1.88	firewood	ʔáhup
1.89	charcoal	ʔimnak
2.1	person, human being	ʔárār
2.21	man (vs. woman)	ʔáβansa
2.22	woman	ʔasiktáβān
2.23	male	ʔáβansa
2.24	female	ʔasiktávān
2.25	boy	ʔaβansáxītič
2.251	young man (adolescent)	ʔafišríhan
2.26	girl	yēripáxvuh
2.261	young woman (adolescent)	ʔifápīt
2.27	child	ʔaxīč
2.28	infant, baby	yupsítanač
2.31	husband	ʔáβan
2.32	wife	ʔihrô̄ha
2.33	marry	ʔihrô̄haha
2.33	marry	ʔáβanha
2.35	father	ʔáka
2.36	mother	tá̄t
2.38	married man	ʔifmá̄r
2.39	married woman	yárar
2.41	son	kač
2.42	daughter	yāčkan
2.44	brother	típah
2.444	older brother	ʔárih
2.445	younger brother	čá̄s
2.45	sister	kústān
2.454	older sister	nánač
2.455	younger sister	čī́š
2.458	twins	ʔaxakʔiβráβapuh
2.46	grandfather	kú̄t
2.46	grandfather	átiš
2.461	old man	pihnī́č
2.47	grandmother	kī́t
2.47	grandmother	átiš
2.471	old woman	ké̄vrīk
2.48	grandson	kú̄t
2.48	grandson	átiš
2.49	granddaughter	kī́t
2.49	granddaughter	átiš
2.511	mother's brother	xúkam
2.512	father's brother	párah
2.521	mother's sister	θúxaθ
2.522	father's sister	mī́θ
2.53	nephew	axiič
2.53	nephew	ʔúfiθ
2.54	niece	axiič
2.54	niece	fúriθ
2.61	father-in-law (of a man)	fíkβān
2.611	father-in-law (of a woman)	fíkβān
2.62	mother-in-law (of a man)	faratípiš
2.621	mother-in-law (of a woman)	faratípiš
2.63	son-in-law (of a man)	ʔíkam
2.631	son-in-law (of a woman)	ʔíkam
2.64	daughter-in-law (of a man)	ʔíram
2.641	daughter-in-law (of a woman)	ʔíram
2.71	stepfather	ʔakáhyān
2.72	stepmother	?iptatpíyān
2.75	orphan	ʔipšāmkírapuh
2.76	widow	ké̄čxaβ
2.77	widower	píhrīβ
2.81	relatives, kinsmen	ʔárāras
2.91	I	ná̄
2.92	you (singular)	ʔī́m
2.93	he/she/it	ʔú̄m
2.94	we	nú̄
2.95	you (plural)	ʔīmkun
2.96	they	?ūmkun
3.25	sheep	ʔapxantī́čpūfič
3.35	pig	nákišnakiš
3.36	goat	ʔapxartī́čpūfič
3.41	horse (equine)	čišīh
3.41	horse (equine)	yurasčíšīh
3.47	mule	tiβxarahar
3.56	goose	ʔaháknah
3.57	duck	ʔastāh
3.58	nest	ká̄s
3.581	bird	ʔačβīβ
3.582	seagull	yuraskanʔáčβīβ
3.583	heron	ʔáxβāy
3.584	eagle	βákār
3.585	hawk	ʔikčáxβān
3.586	vulture	ʔatipimá̄mβān
3.591	bat	timšúkrīh
3.593	crow	ʔánāč
3.594	dove	pimnanihtanákānič
3.596	owl	θufkírik
3.61	dog	čišīh
3.614	rabbit	sahíšyūxač
3.63	mouse, rat	sī́t
3.63	mouse, rat	ačnāt
3.65	fish	á̄ma
3.652	fin (dorsal)	tī́t
3.654	gill	ʔáθan
3.663	whale	ʔípar
3.665	freshwater eel	ʔakrāh
3.71	wolf	ʔikxâ̄βnamič
3.72	lion	yupθúkirar
3.73	bear	βírusur
3.74	fox	aprāx
3.75	deer	pú̄fič
3.811	louse	ʔačīč
3.813	flea	ʔú̄t
3.815	scorpion	mahxánθūn
3.817	ant	asvūt
