@classification: Uralic,Samoyed
@ids-name: Nenets_Phonemic
@iso: yrk
@language: Nenets
@size: 1277
@source: ids
@variety: std
11.77	hire	nʸedwaʔʔlʸesʸ
11.78	wages	nʸedbʸa
11.79	earn	nʸedwac̷ʸ
11.81	buy	temdasʸ
11.82	sell	mir̃dac̷ʸ
11.83	trade, barter	mir̃dapasʸ
11.84	merchant	waskuy
11.84	merchant	mir̃datana
11.86	store, shop	lawka
11.86	store, shop	temdolawa
11.87	price	mir̃ʔʔ
11.88	dear (costly, expensive)	mir̃ʸeta
11.89	cheap	mir̃c̷ʸeda
11.91	share (distribute)	tʸar̃pasʸ
11.92	weigh	ŋɨdabasʸ
11.92	weigh	ŋɨdasʸ
12.1	after	puna
12.11	place	tʸaxaʔ
12.11	place	punʸana
12.2	beside	ir̃suʔ
12.2	beside	xewxana
12.3	down, below	tasinʸa
12.3	down, below	tasiʔ
12.4	before	ŋesondʔ
12.4	before	nʸer̃nʸana
12.41	right (side)	nʸer̃nʸaŋɨ
12.5	inside, in	mʸunʸa
12.7	under	ŋɨlʔ
12.7	under	ŋɨlnʸa
12.8	up, above	tʸuʔʔuna
12.8	up, above	ninʸa
12.8	up, above	nimnʸa
12.11	place	ya
12.12	put	nultasʸ
12.12	put	pembasʸ
12.13	sit	ŋamdʸosʸ
12.14	lie down	yusʸedasʸ
12.15	stand	nusʸ
12.16	remain, stay	xayosʸ
12.17	remains, left overs	xayoʔʔmʸa
12.17	remains, left overs	xayocey
12.21	collect, gather	maʔʔlambasʸ
12.212	pick up	ilbasʸ
12.213	pile up	ŋonabtasʸ
12.22	join, unite	ŋomdasʸ
12.23	separate	yaŋgr̃ʸesʸ
12.232	divide	tʸar̃pasʸ
12.24	open	nesʸ
12.25	shut, close	talasʸ
12.26	cover	sindasʸ
12.27	hide, conceal	sʸur̃pasʸ
12.31	high	pir̃c̷ʸa
12.32	low	lamdo
12.33	top	tʸuʔʔuy
12.33	top	ŋewa
12.34	bottom	ŋɨlad
12.35	end	mal
12.352	pointed	sawak
12.353	edge	nʸand
12.36	side	xew
12.37	middle, center	yer̃kɨ
12.37	middle, center	yoney
12.41	right (side)	maxanʸaŋɨ
12.42	left (side)	sʸatanʸaŋɨ
12.43	near (adv)	xaxai
12.44	far (adv)	ŋaxaʔʔna
12.45	east	yalʸaʔtar̃pʔʔ
12.45	east	xuwɨyalumdadʔmin
12.46	west	yalʸaʔŋadʸmin
12.47	north	ŋer̃m
12.48	south	yalʸaʔyer̃ʔʔmin
12.53	grow	wadʸodanasʸ
12.54	measure	yolʸc̷ʸebasʸ
12.541	span, fathom	tibʸa
12.55	large, big	ŋar̃ka
12.55	large, big	sʸudbʸa
12.56	small, little	nʸudʸa
12.57	long	yamb
12.58	tall	pir̃c̷ʸa
12.59	short	xemʔ
12.61	wide, broad	lata
12.62	narrow	tɨya
12.63	thick (in dimension)	nʸaŋota
12.65	thin (in dimension)	yabta
12.67	deep	yor̃ʸa
12.68	shallow	tor̃a
12.71	flat	labc̷ʸoy
12.73	straight	nʸenza
12.74	crooked	pay
12.75	hook	wada
12.76	corner	loxo
12.78	square	tʸetloxo
12.81	round	sʸur̃tʸaw
12.82	circle	sʸur̃tʸaw
12.83	sphere, ball	posʸo
12.84	line	yenaxalma
12.85	hole	si
12.92	like, similar	toʔʔolxa
12.92	like, similar	toʔʔlaxa
12.93	change	padaba
13.0	zero, nothing	ŋamgexer̃t
13.1	one	ŋopoy
13.2	two	sidʸa
13.3	three	nʸaxar̃ʔʔ
13.4	four	tʸet
13.5	five	samlʸaŋg
13.6	six	matʔʔ
13.7	seven	siʔʔiw
13.8	eight	sidndʸet
13.9	nine	xasuyuʔʔ
13.10	ten	yuʔʔ
13.101	eleven	ŋobʔʔyaŋgnʸa
13.102	twelve	sidʸayaŋgnʸa
13.103	fifteen	samlʸaŋgyaŋgnʸa
13.104	twenty	sidʸayuʔʔ
13.105	hundred	yur̃ʔʔ
13.106	thousand	yonar̃ʔʔ
13.107	count	tolabasʸ
13.14	every, all	xusuwey
13.15	much, many	ŋoka
13.16	more	ŋar̃kar̃ka
13.17	little (quantity), few	tʸanʸo
13.18	enough	mesʸ
13.181	some	sʸanmboy
13.181	some	tʸanʸo
13.19	multitude, crowd	ŋoka
13.19	multitude, crowd	xibʸar̃iʔmandalʔʔ
13.21	full	panta
13.22	empty	tʸer̃sʸada
13.23	part, piece	pʸelʸa
13.24	half	pʸelʸa
13.33	alone, only	ŋobʔʔ
13.33	alone, only	ŋopoy
13.33	alone, only	walakada
13.34	first	nʸur̃tʸey
13.34	first	nʸer̃tʸey
13.35	last	pudana
13.36	second	nʸabimdʸey
13.37	pair	xewas
13.38	two times	sidʸamewaʔ
13.38	two times	sidʸaʔ
13.42	third	nʸaxar̃amdey
13.44	three times	nʸaxar̃ʔ
13.44	three times	nʸaxar̃ʔmewaʔ
14.11	time	yolʸc̷ʸʔ
14.11	time	wato
14.12	age	yondʸer̃ʔʔ
14.13	new	yedey
14.14	young	ŋac̷ʸ
14.14	young	ŋac̷ʸmboy
14.15	old	wesako
14.15	old	nʸewxɨ
14.16	early	mʸer̃ʔ
14.16	early	mʸer̃uwna
14.17	late	yanoc̷ʸ
14.18	now	tʸedaʔ
14.19	immediately	tikaxana
14.19	immediately	tikɨr̃inda
14.21	swift, fast, quick	mʸer̃ʸeta
14.22	slow	yana
14.23	hasten, hurry	par̃umbasʸ
14.24	retard, delay	yanadasʸ
14.25	begin, beginning	pʸasʸ
14.25	begin, beginning	nʸer̃dʸenʸa
14.252	last, endure	wenaŋgasʸ
14.26	end (temporal)	mal
14.27	finish	yolʸc̷ʸesʸ
14.28	cease, stop	ŋewadasʸ
14.31	always	piliʔʔ
14.31	always	malʔ
14.32	often	ŋobkad
14.33	sometimes	xanʸaŋexena
14.331	soon	lakr̃iʔ
14.331	soon	ŋelomʔ
14.332	long-time (for a)	ponʔ
14.34	never	sʸaxaŋgar̃tʔ
14.35	again	ŋaniʔ
14.41	day	yalʸa
14.42	night	pi
14.43	dawn	yalumdʔʔ
14.44	morning	xuwɨ
14.44	morning	xu
14.45	noon, midday	yalʸaʔyer̃ʔ
14.45	noon, midday	yalʸaʔpʸelʸa
14.46	evening	pewsʸumbɨ
14.47	today	tʸukuyalʸaʔ
14.48	tomorrow	xunʸana
14.48	tomorrow	tʸebtaʔ
14.481	day-after-tomorrow	xuniytʸaxakuna
14.49	yesterday	tʸeyyalʸaʔ
14.49	yesterday	tʸenʸana
14.491	day-before-yesterday	tʸeytʸaxakuna
14.51	hour	sʸas
14.53	clock, timepiece	sʸasʔʔ
14.61	week	siʔʔiwyalʸa
14.62	Sunday	nɨlanawayalʸa
14.71	month	ir̃iy
14.73	year	po
14.74	winter	sɨwɨ
14.74	winter	sɨr̃a
14.75	spring	nar̃a
14.76	summer	taʔ
14.77	autumn	ŋer̃ʸo
14.78	season	poʔyolʸc̷ʸʔ
15.21	smell (vb intrans)	ŋabtʸesʸ
15.212	sniff	tʸunar̃pasʸ
15.22	smell (vb trans)	tʸunʸebasʸ
15.22	smell (vb trans)	tʸunar̃pasʸ
15.25	fragrant, good smelling	ŋabtʸenʸa
15.26	stinking, bad smelling	ŋabtʸenʸa
15.31	taste	sʸakɨbtasʸ
15.35	sweet	ŋamnʸalada
15.36	salty	ser̃c̷awey
15.37	bitter	war̃ʸyada
15.37	bitter	ibc̷ʸada
15.38	acid, sour	tibʸey
15.39	brackish	ser̃c̷aweyar̃ka
15.41	hear	namdor̃c̷ʸ
15.42	listen	inzʸelʸesʸ
15.44	sound, noise	muʔ
15.45	loud	satawna
15.46	quiet, silence	xeʔʔnʸer̃ʔʔ
15.51	see	maniyesʸ
15.52	look, look at	sɨr̃c̷ʸ
15.55	show	maneʔʔlabtasʸ
15.56	shine	yabʸer̃ʸesʸ
15.57	bright	pesʸdasʸyalʸa
15.62	light (in color)	tir̃sʸada
15.63	dark (in color)	pewdʸa
15.64	white	ser̃ʔʔ
15.64	white	ser̃ako
15.65	black	par̃idʸenʸa
15.66	red	nʸar̃yana
15.67	blue	tanzʸenana
15.67	blue	numlaxa
15.68	green	padʸar̃axa
15.68	green	ŋamdeʔʔlaxa
15.69	yellow	tasʸexey
15.71	touch	manzabtambasʸ
15.712	pinch	ŋɨbar̃pasʸ
15.72	feel	xor̃pasʸ
15.74	hard	toyenana
15.75	soft	nʸulak
15.76	rough	nasor̃tana
15.76	rough	nasor̃pey
15.77	smooth	salmuy
15.78	sharp	paʔʔmʸa
15.79	blunt, dull	tɨnxa
15.81	heavy	saŋgowota
15.82	light (in weight)	sibi
15.83	wet, damp	saʔʔnʸuy
15.84	dry	xasuy
15.85	hot	iba
15.85	hot	yadʸembada
15.851	warm	iba
15.86	cold	tʸec̷ʸda
15.87	clean	war̃c̷ʸada
15.88	dirty, soiled	war̃c̷awey
15.89	wrinkled	tɨnar̃c̷awey
16.11	soul, spirit	sʸonzʸa
16.15	surprised, astonished	pɨsabtʸoda
16.15	surprised, astonished	mʸer̃ʸolʸewɨ
16.18	good fortune, luck	yab
16.19	misfortune, bad luck	yabsʸawa
16.23	joyful, glad, happy	ilʸebʸadʸoda
16.23	joyful, glad, happy	maymbawa
16.25	laugh	pisʸanzʸ
16.251	smile	wanʸebtʸosʸ
16.26	play	sʸanakosʸ
16.27	love	menʸewa
16.27	love	xamsawa
16.27	love	menʸesʸ
16.29	kiss	nʸuc̷ʸambasʸ
16.3	embrace	sʸewolpasʸ
16.31	pain	yedʸa
16.32	grief, sorrow, sadness	mayaʔ
16.33	anxiety, worry	yayebtʸowa
16.34	regret, be sorry	sʸanzʸ
16.35	pity	sʸama
16.37	cry, weep	yar̃c̷ʸ
16.38	tear (noun)	xayal
16.39	groan	taxasʸ
16.41	hate	sexedawa
16.41	hate	sexedasʸ
16.42	anger	sʸey
16.42	anger	nʸenwa
16.44	envy, jealousy	tidwa
16.44	envy, jealousy	yanawa
16.45	shame (noun)	wewar̃axa
16.48	proud	ŋar̃c̷iyeta
16.51	dare	pir̃ac̷ʸ
16.52	brave	pinsʸada
16.53	fear, fright	pinwa
16.54	danger	posakabtawa
16.62	desire, want	xar̃wasʸ
16.622	choose	ter̃abasʸ
16.63	hope	yenawa
16.63	hope	yenabc̷ʸʔ
16.65	faithful	ŋobʔimʔmeta
16.66	true	nʸenesʸa
16.67	lie, tell lies	siyesʸ
16.68	deceit	tembar̃ʔʔ
16.71	good	sawa
16.72	bad	wewa
16.73	right, correct	ir̃tʔʔŋedasʸer̃ʔʔ
16.73	right, correct	nʸenesʸa
16.74	wrong	wanzʸer̃ʔŋeda
16.76	fault	xar̃a
16.77	mistake, error	yoxobor̃ma
16.78	blame	tedor̃pawa
16.79	praise	sawuʔʔma
16.81	beautiful	sac̷ʸsawa
16.81	beautiful	sʸadota
16.82	ugly	wewa
16.83	greedy	xal
16.83	greedy	mar̃o
16.84	clever	ibʸeta
17.11	mind	i
17.11	mind	iŋuʔʔ
17.13	think (= reflect)	ibʸedor̃c̷ʸ
17.14	think (= be of the opinion)	ibʸedor̃c̷ʸ
17.15	believe	punr̃ʸosʸ
17.16	understand	xamadasʸ
17.17	know	tʸenʸewasʸ
17.171	guess	xombasʸ
17.172	imitate	xetɨdoc̷ʸ
17.18	seem	ŋesʸ
17.19	idea, notion	iŋuʔʔ
17.21	wise	iŋudota
17.22	foolish, stupid	saʔʔla
17.23	insane, crazy	isʸada
17.24	learn	toxolkosʸ
17.242	study	toxolambasʸ
17.25	teach	toxolambasʸ
17.26	pupil	toxodanna
17.27	teacher	toxolkoda
17.28	school	toxolkolawa
17.31	remember	tʸenʸesʸ
17.32	forget	yur̃asʸ
17.34	clear, plain	tir̃sʸada
17.34	clear, plain	ŋadʸda
17.35	obscure	tir̃sawey
17.36	secret	talʸe
17.37	sure, certain	punr̃ʸowa
17.38	explain	sabʔʔninzʸ
17.41	intention, purpose	xar̃wabc̷o
17.441	betray	mipasʸ
17.45	need, necessity	tar̃awa
17.46	easy	sibi
17.47	difficult	saŋgowota
17.48	try, attempt	xor̃pasʸ
17.49	way, manner	mesɨʔʔ
17.52	because	ŋadʸbʸanda
17.52	because	tar̃ʸemliʔ
17.54	or	nibtʸa
17.55	yes, affirmative	ŋaaʔ
17.56	no, negative	nisʸ
17.61	how?	xanzʸer̃ʔʔ
17.62	how many?	sʸan
17.63	how much?	sʸan
17.64	what?	ŋamge
17.65	when?	sʸaxaʔ
17.65	when?	sʸaʔʔnʸa
17.66	where?	xanʸana
17.66	where?	xanʸaʔ
17.67	which?	xur̃ka
17.67	which?	xanʸaŋɨ
17.68	who?	xibʸa
17.69	why?	ŋamge
18.11	voice	sʸo
18.12	sing	xɨnoc̷ʸ
18.13	shout, cry out	tʸor̃ʸenasʸ
18.15	whisper	xasabar̃c̷ʸ
18.16	mumble	xalʸmʸer̃c̷ʸ
18.16	mumble	nʸunbʸar̃c̷ʸ
18.17	whistle	sʸudar̃c̷ʸ
18.18	shriek, screech	tʸor̃ɨr̃c̷ʸ
18.18	shriek, screech	nar̃ɨr̃c̷ʸ
18.19	howl	ŋobʸer̃c̷ʸ
18.21	speak, talk	laxanasʸ
18.211	stutter, stammer	maxasʸ
18.22	say	masʸ
18.221	tell story	xetbasʸ
18.222	speech (make a)	nʸaʔʔambasʸ
18.23	silent (be)	munzʸasʸ
18.24	language	wada
18.26	word	wada
18.28	name	nʸumʔ
18.31	ask (question, inquire)	yunr̃asʸ
18.32	answer	xetasʸ
18.34	deny	nʸaŋgar̃tasʸ
18.35	ask, request	xanzʸ
18.36	promise	wator̃pasʸ
18.38	forbid	ŋewadalasʸ
18.39	rebuke, scold	tedor̃pasʸ
18.41	call (=summon)	xanzʸ
18.42	call (=name)	nʸumdʸesʸ
18.45	boast	posabtʸosʸ
18.51	write	padnasʸ
18.52	read	tolaŋgosʸ
18.52	read	tolabasʸ
18.56	paper	padar̃ʔʔ
18.57	pen	padnabc̷ʸʔyesʸa
18.61	book	kniga
18.61	book	padar̃ʔʔ
18.67	poet	padnana
18.74	rattle	munoʔʔla
19.11	country	ya
19.12	one's native country	soyaʔʔmaya
19.15	city, town	mar̃ʔʔ
19.16	village	ŋesɨ
19.17	boundary	yaʔwar̃
19.21	people (populace)	xibʸaʔʔ
19.23	tribe, clan	tenz
19.24	chief, chieftain	yer̃w
19.25	staff, walking stick	pʸa
19.31	rule, govern	yer̃wombasʸ
19.32	king, ruler	par̃eŋgoda
19.33	queen	par̃eŋgodanʸe
19.41	master	yer̃w
19.42	slave	xabi
19.43	servant	manzar̃anita
19.45	command, order	tabadasʸ
19.46	obey	namdor̃c̷ʸ
19.51	friend, companion	nʸa
19.51	friend, companion	yur̃ʸo
19.52	enemy	pʸaŋguy
19.55	stranger	ŋadɨxɨ
19.56	guest	mʸadonda
19.57	host	yer̃w
19.58	help, aid	nʸadasʸ
19.59	hinder, prevent	tinzʸyer̃c̷ʸ
19.61	custom	mesɨʔʔ
19.62	strife, quarrel	pɨxɨʔʔlʸowa
19.65	meet	yadabtasʸ
20.11	fight (vb)	pʸodasʸ
20.13	war, battle	saynor̃ma
20.13	war, battle	pʸodwa
20.14	peace	saynor̃c̷ʸawa
20.15	army	sayuw
20.17	soldier	palɨtana
20.21	weapons, arms	mir̃w
20.22	club	pʸa
20.24	bow	ŋɨn
20.25	arrow	muŋg
20.26	spear	nar̃ʸa
20.27	sword	palɨ
20.28	gun, cannon	tuni
20.33	helmet	yesʸasʸobʸa
20.34	shield	yesʸaŋedʸaʔ
20.41	victory	waduwoʔʔma
20.44	defend	ŋedanzʸur̃c̷ʸ
20.44	defend	ŋedanzʸosʸ
20.45	retreat	xar̃c̷anasʸ
20.45	retreat	punʸaʔminzʸ
20.46	surrender	mic̷ʸ
20.471	guard, sentinel	yer̃aŋgoda
20.48	booty, spoils	xanʸesey
20.48	booty, spoils	xanʸeda
20.51	fisherman	yor̃tʸa
20.52	fishhook	wada
20.54	fishnet	poŋga
20.55	fish trap	nʸamzaxey
20.56	bait	ŋawalʔʔ
20.61	hunt	xanʸesʸ
20.62	shoot	yenʸer̃c̷ʸ
20.64	trap (noun)	yaŋgo
20.65	trap (vb)	yaŋgonʔnʸaʔʔmasʸ
21.11	law	wato
21.15	court	sud
21.16	judge (vb)	sudʸeŋgosʸ
21.18	judge (noun)	sudʸeŋgoda
21.23	witness	xetnana
21.24	swear	waletor̃c̷ʸ
21.25	oath	walɨtawa
21.31	accuse	womdar̃tasʸ
21.32	condemn	sudʸesʸ
21.33	convict (vb)	womdar̃tasʸ
21.35	guilty	womdar̃ʸoda
21.37	penalty, punishment	tanar̃awa
21.39	prison, jail	sʸar̃olawamʸaʔʔ
21.42	murder	xadabawa
21.43	adultery	saʔʔyewa
21.44	rape	nʸemʔwomdar̃c̷ʸ
21.46	arson	par̃adawa
21.51	steal	talʸebasʸ
21.51	steal	talʸesʸ
21.52	thief	talʸey
